smiles,expt,calc
CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625
CS(=O)(=O)Cl,-4.87,-6.219
CC(C)C=C,1.83,2.452
CCc1cnccn1,-5.45,-5.809
CCCCCCCO,-4.21,-2.917
Cc1cc(cc(c1)O)C,-6.27,-5.444
CC(C)C(C)C,2.34,2.468
CCCC(C)(C)O,-3.92,-2.779
C[C@@H]1CCCC[C@@H]1C,1.58,1.685
CC[C@H](C)O,-4.62,-3.145
C(Br)Br,-1.96,-0.405
CC[C@H](C(C)C)O,-3.88,-2.416
CCc1ccccn1,-4.33,-3.31
CCCCC(=O)OCC,-2.49,-3.11
c1ccc(cc1)S,-2.55,-1.501
CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597
c1ccc2c(c1)CCC2,-1.46,-1.752
CCOc1ccccc1,-2.22,-2.254
c1cc(ccc1O)Br,-5.85,-5.833
CCCC(C)(C)C,2.88,2.686
CC(=O)OCCOC(=O)C,-6.34,-8.292
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644
C1CCCC(CC1)O,-5.48,-4.345
COC(=O)C1CC1,-4.1,-3.604
c1ccc(cc1)C#N,-4.1,-3.238
CCCCC#N,-3.52,-2.147
CC(C)(C)O,-4.47,-3.288
CC(C)C(=O)C(C)C,-2.74,-2.629
CCC=O,-3.43,-3.148
CN(C)C=O,-7.81,-6.932
Cc1ccc(cc1)C,-0.8,-0.658
C=CCC=C,0.93,2.357
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,-7.665
CN(C)C(=O)c1ccccc1,-9.29,-8.113
CCNCC,-4.07,-2.986
CC(C)(C)c1ccc(cc1)O,-5.91,-5.543
CC(C)CCOC=O,-2.13,-3.414
CCCCCCCCCCO,-3.64,-2.446
CCC(=O)OCC,-2.68,-3.221
CCCCCCCCC,3.13,3.221
CC(=O)NC,-10,-8.276
CCCCCCCC=C,2.06,2.995
c1ccc2cc(ccc2c1)O,-8.11,-7.849
c1cc(c(cc1Cl)Cl)Cl,-1.12,-0.117
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,-18.162
CCCC(=O)OC,-2.83,-3.552
c1ccc(c(c1)C=O)O,-4.68,-8.809
C1CNC1,-5.56,-3.861
CCCNCCC,-3.65,-2.233
c1ccc(cc1)N,-5.49,-5.543
C(F)(F)(F)F,3.12,2.489
CC[C@@H](C)CO,-4.42,-2.995
c1ccc(c(c1)O)I,-6.2,-3.221
COc1cccc(c1O)OC,-6.96,-7.393
CCC#C,-0.16,0.284
c1ccc(cc1)C(F)(F)F,-0.25,-0.57
