smiles,u0_atom
C([H])([H])([H])[H],5.055745125
[H]C([H])([H])C([H])([H])[H],3.734646271
[H]C([H])=C([H])[H],4.399592481
[H]C#C[H],5.114428725
[H]OC([H])([H])C([H])([H])[H],3.301922015
[H]C(=O)C([H])([H])[H],3.892840748
[H]C([H])([H])OC([H])([H])[H],3.355266664
[H]C1([H])C([H])([H])C1([H])[H],3.071046015
[H]C([H])([H])C([H])([H])C([H])([H])[H],2.40632413
[H]C([H])=C([H])C([H])([H])[H],3.064764895
[H]C#CC([H])([H])[H],3.752816652
[H]N1C([H])([H])C1([H])[H],3.67403347
[H]N([H])C([H])([H])C([H])([H])[H],2.985577927
[H]C([H])([H])C#N,4.155032614
[H]N(C([H])([H])[H])C([H])([H])[H],3.022322475
[H]C1([H])OC1([H])[H],3.999260855
[H]C([H])([H])C#CC([H])([H])[H],2.395691092
[H]C([H])=C([H])C([H])([H])C([H])([H])[H],1.729219467
[H]C#CC([H])([H])C([H])([H])[H],2.426872363
[H]N1C([H])([H])C([H])([H])C1([H])[H],2.361817913
[H]N1C([H])([H])C1([H])C([H])([H])[H],2.332117192
[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H],1.659319582
[H]C([H])=C([H])C#N,3.485196104
[H]C#CC#N,4.255395928
[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H],1.649583847
[H]C([H])([H])C([H])([H])C#N,2.829357516
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],1.746627141
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])[H],1.686911642
[H]C([H])([H])N1C([H])([H])C1([H])[H],2.366483888
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],1.712484771
[H]N([H])C1([H])C([H])([H])C1([H])[H],2.310940847
[H]C([H])=C([H])C([H])([H])N([H])[H],2.317670617
[H]C#CC([H])([H])N([H])[H],3.019316511
[H]C1([H])OC([H])([H])C1([H])[H],2.657209982
[H]C([H])([H])C1([H])OC1([H])[H],2.653082389
[H]OC([H])([H])C([H])([H])C([H])([H])[H],1.975259884
[H]C(=O)C([H])=C([H])[H],3.202366274
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],1.737968169
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],1.960678714
