smiles,E1-CAM
[H]C([H])([H])[H],0.40993137
[H]N([H])[H],0.25385331
[H]O[H],0.27851946
[H]C#C[H],0.24487913
[H]C#N,0.2834255
[H]C([H])=O,0.14683928
[H]C([H])([H])C([H])([H])[H],0.35496541
[H]OC([H])([H])[H],0.26122523
[H]C#CC([H])([H])[H],0.24383177
[H]C([H])([H])C#N,0.28389956
[H]C(=O)C([H])([H])[H],0.15974197
[H]C(=O)N([H])[H],0.21020247
[H]C([H])([H])C([H])([H])C([H])([H])[H],0.33965196
[H]OC([H])([H])C([H])([H])[H],0.26258863
[H]C([H])([H])OC([H])([H])[H],0.27583309
[H]C1([H])C([H])([H])C1([H])[H],0.3188004
[H]C1([H])OC1([H])[H],0.30184426
[H]C([H])([H])C(=O)C([H])([H])[H],0.16566228
[H]N([H])C(=O)C([H])([H])[H],0.21171654
[H]N([H])C(=O)N([H])[H],0.24239488
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.33555809
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0.2657454
[H]C#CC#C[H],0.17530898
[H]C#CC#N,0.19043868
N#CC#N,0.20959243
[H]C#CC([H])=O,0.14207289
[H]C(=O)C#N,0.14137833
[H]C(=O)C([H])=O,0.10109739
[H]C([H])([H])C#CC([H])([H])[H],0.24327318
[H]C#CC([H])([H])C([H])([H])[H],0.24239855
[H]C([H])([H])C([H])([H])C#N,0.28164683
[H]N([H])C([H])([H])C#N,0.23892574
[H]C#CC([H])([H])O[H],0.22653754
[H]OC([H])([H])C#N,0.25370999
[H]C(=O)C([H])([H])C([H])([H])[H],0.15723934
[H]C(=O)N([H])C([H])([H])[H],0.21301379
[H]C(=O)OC([H])([H])[H],0.21234128
[H]OC([H])([H])C([H])=O,0.15182616
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.33620488
[H]OC([H])([H])C([H])([H])C([H])([H])[H],0.2627834
[H]C([H])([H])OC([H])([H])C([H])([H])[H],0.27624835
[H]OC([H])([H])C([H])([H])O[H],0.25593333
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],0.3035678
[H]C([H])([H])C1([H])OC1([H])[H],0.30283649
[H]C([H])([H])N1C([H])([H])C1([H])[H],0.26853467
[H]OC1([H])C([H])([H])C1([H])[H],0.24867166
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],0.32225116
[H]C1([H])OC([H])([H])C1([H])[H],0.26187937
[H]ON=C(C([H])([H])[H])C([H])([H])[H],0.23204259
[H]c1c([H])c([H])n([H])c1[H],0.22566658
[H]c1nc([H])n([H])c1[H],0.24018257
[H]c1oc([H])c([H])c1[H],0.23123043
[H]c1nc([H])c([H])o1,0.23807315
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.33301504
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.26651346
[H]C#CC(=O)C([H])([H])[H],0.14925371
[H]C([H])([H])C(=O)C#N,0.15039661
[H]C#CC(=O)N([H])[H],0.18414719
[H]C(=O)C(=O)C([H])([H])[H],0.10440116
[H]C(=O)C(=O)N([H])[H],0.12378275
[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],0.24297184
[H]C([H])([H])C([H])(C#N)C([H])([H])[H],0.28199227
[H]N([H])C([H])(C#N)C([H])([H])[H],0.25475
[H]C#CC([H])(O[H])C([H])([H])[H],0.23448642
[H]OC([H])(C#N)C([H])([H])[H],0.27149667
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.15714747
[H]OC([H])(C([H])=O)C([H])([H])[H],0.15575099
[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],0.21195908
[H]OC([H])([H])C(=O)C([H])([H])[H],0.17607704
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],0.16661409
[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0.2124552
[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],0.21688717
[H]N([H])C(=O)N([H])C([H])([H])[H],0.24639688
[H]N=C(OC([H])([H])[H])C([H])([H])[H],0.24326583
[H]C([H])([H])OC(=O)C([H])([H])[H],0.21882386
[H]N([H])C(=O)OC([H])([H])[H],0.25931059
[H]OC([H])([H])C(=O)N([H])[H],0.20860387
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.2630039
[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],0.27344071
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.3325667
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26560207
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.27831367
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.29088561
[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.29893004
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.26143838
[H]N=C1OC([H])([H])C1([H])[H],0.2478154
[H]C1([H])C(=O)C([H])([H])C1([H])[H],0.15798167
[H]N1C(=O)C([H])([H])C1([H])[H],0.22172705
[H]C1([H])OC(=O)C1([H])[H],0.22091489
[H]N1C([H])([H])C(=O)C1([H])[H],0.16130749
[H]C1([H])OC([H])([H])C1=O,0.16287669
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.31486087
[H]C([H])([H])C1([H])OC([H])([H])C1([H])[H],0.27151137
[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],0.26251513
[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],0.26529338
[H]OC1([H])C([H])([H])OC1([H])[H],0.25640739
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.28972801
[H]OC1([H])C([H])([H])C1([H])C([H])([H])[H],0.2639557
[H]C([H])([H])N1C([H])([H])C1([H])C([H])([H])[H],0.25717545
