smiles,f1-CAM
[H]C([H])([H])[H],0.1832
[H]N([H])[H],0.0575
[H]O[H],0.0333
[H]C#C[H],0
[H]C#N,0
[H]C([H])=O,0
[H]C([H])([H])C([H])([H])[H],0
[H]OC([H])([H])[H],0.0003
[H]C#CC([H])([H])[H],0
[H]C([H])([H])C#N,0
[H]C(=O)C([H])([H])[H],0.0001
[H]C(=O)N([H])[H],0.0011
[H]C([H])([H])C([H])([H])C([H])([H])[H],0.0019
[H]OC([H])([H])C([H])([H])[H],0
[H]C([H])([H])OC([H])([H])[H],0.0444
[H]C1([H])C([H])([H])C1([H])[H],0.0046
[H]C1([H])OC1([H])[H],0.0015
[H]C([H])([H])C(=O)C([H])([H])[H],0
[H]N([H])C(=O)C([H])([H])[H],0.0006
[H]N([H])C(=O)N([H])[H],0.001
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0037
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0.0052
[H]C#CC#C[H],0
[H]C#CC#N,0
N#CC#N,0
[H]C#CC([H])=O,0.0002
[H]C(=O)C#N,0.0005
[H]C(=O)C([H])=O,0.0002
[H]C([H])([H])C#CC([H])([H])[H],0
[H]C#CC([H])([H])C([H])([H])[H],0
[H]C([H])([H])C([H])([H])C#N,0
[H]N([H])C([H])([H])C#N,0.0075
[H]C#CC([H])([H])O[H],0
[H]OC([H])([H])C#N,0
[H]C(=O)C([H])([H])C([H])([H])[H],0.0001
[H]C(=O)N([H])C([H])([H])[H],0.0012
[H]C(=O)OC([H])([H])[H],0.0014
[H]OC([H])([H])C([H])=O,0.0001
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
[H]OC([H])([H])C([H])([H])C([H])([H])[H],0.0001
[H]C([H])([H])OC([H])([H])C([H])([H])[H],0.0468
[H]OC([H])([H])C([H])([H])O[H],0.0019
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],0.0112
[H]C([H])([H])C1([H])OC1([H])[H],0.0055
[H]C([H])([H])N1C([H])([H])C1([H])[H],0.0312
[H]OC1([H])C([H])([H])C1([H])[H],0.008
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],0.0348
[H]C1([H])OC([H])([H])C1([H])[H],0.0023
[H]ON=C(C([H])([H])[H])C([H])([H])[H],0.0026
