smiles,heat_capacity
C,6.469
N,6.316
O,6.002
C#C,8.574
C#N,6.278
C=O,6.413
CC,10.098
CO,8.751
CC#C,12.482
CC#N,10.287
CC=O,11.219
C(=O)N,10.89
CCC,14.84
CCO,13.546
COC,12.934
C1CC1,11.041
C1CO1,9.176
CC(=O)C,16.893
CC(=O)N,16.561
C(=O)(N)N,15.292
CC(C)C,20.273
CC(C)O,19.052
C#CC#C,15.312
C#CC#N,12.93
C(#N)C#N,10.398
C#CC=O,13.049
C(=O)C#N,11.329
C(=O)C=O,12.147
CC#CC,17.447
CCC#C,17.13
CCC#N,14.988
C(C#N)N,14.488
C#CCO,15.855
C(C#N)O,13.845
CCC=O,15.954
CNC=O,15.058
COC=O,13.885
C(C=O)O,14.78
CCCC,19.668
CCCO,18.431
CCOC,17.888
C(CO)O,16.837
CC1CC1,16.49
CC1CO1,14.764
CN1CC1,15.298
C1CC1O,15.679
C1CCC1,14.696
C1COC1,12.915
CC(=NO)C,21.616
c1cc[nH]c1,14.821
c1cnc[nH]1,13.371
c1ccoc1,13.358
c1cocn1,12.04
CC(C)(C)C,26.084
CC(C)(C)O,25.128
CC(=O)C#C,18.723
CC(=O)C#N,16.963
C(#N)C(=N)N,17.465
C#CC(=O)N,18.527
CC(=O)C=O,17.806
C(=O)C(=N)N,17.972
C(=O)C(=O)N,17.525
CC(C)C#C,22.569
CC(C)C#N,20.467
CC(N)C#N,19.946
CC(O)C#C,21.306
CC(O)C#N,19.252
CC(C)C=O,21.434
CC(O)C=O,20.344
CN(C)C=O,19.918
CC(=O)CO,19.824
CCC(=O)C,21.716
CCC(=O)N,21.374
CC(=O)NC,20.967
CNC(=O)N,20.274
COC(C)=N,20.256
CC(=O)OC,19.501
COC(=O)N,19.084
C(C(=O)N)O,20.089
[NH3+]CC([O-])=O,17.931
CC(C)CO,23.924
CC(O)CO,22.072
CCC(C)C,25.169
CCC(C)O,23.99
CC(C)OC,23.573
CC1(CC1)C,22.258
CC1(CO1)C,20.719
CC1(CC1)O,21.17
N=C1CCO1,15.51
C1CC(=O)C1,17.076
C1CNC1=O,16.1
C1COC1=O,14.483
C1C(=O)CN1,16.083
C1C(=O)CO1,15.115
CC1CCC1,20.299
CC1CCO1,18.582
CC1COC1,18.443
C1CC(C1)O,19.023
C1C(CO1)O,17.344
CC1CC1C,22.005
CC1CC1O,20.702
CC1CN1C,20.993
CC1OC1C,20.451
OC1CC1O,19.173
C1C2CC1C2,15.584
C1C2CC1O2,14.648
C#CCC#C,19.399
C#CCC#N,17.258
C(C#N)C#N,15.259
C#CCC=O,18.303
C(C=O)C#N,16.279
C(=N)NC=O,16.694
N=COC=O,15.704
C(=O)NC=O,15.692
CC#CC#C,19.382
CC#CC#N,17.054
CC#CC=O,18.156
CC#CCO,20.884
CCC#CC,22.115
CN=COC,20.343
CCCC#C,22.023
CCCC#N,19.863
CNCC#N,19.026
COCC#C,20.194
COCC#N,18.14
C#CCCO,20.716
C(CO)C#N,18.636
CCCC=O,20.766
CCNC=O,19.864
CCOC=O,18.727
COCC=O,19.186
C(CO)C=O,19.422
CCCCC,24.552
CCCCO,23.274
CCCOC,22.785
CCOCC,22.881
COCCO,21.001
C(CO)CO,22.005
C#CC1CC1,18.785
C#CC1CN1,17.704
C#CC1CO1,16.924
C1CC1C#N,16.544
N#CC1CN1,15.572
N#CC1CO1,14.866
C1CC1C=O,17.457
O=CC1CN1,16.144
O=CC1CO1,15.818
C1CN1C=O,16.197
CCC1CC1,21.364
CCC1CO1,19.579
CCN1CC1,20.247
COC1CC1,19.738
C1CC1CO,20.059
OCC1CN1,19.038
OCC1CO1,18.033
C1CC=CC1,17.052
C1COC=N1,14.168
C1C=CCO1,15.461
C1CCCC1,18.624
C1CCOC1,16.873
C1COCO1,15.172
C1C2CCC12,16.868
C1C2COC12,15.312
C1CC2OC12,15.427
c1c[nH]nc1,13.255
c1cnn[nH]1,12.248
c1[nH]ncn1,11.923
c1[nH]cnn1,12.36
c1cn[nH]n1,11.936
c1cnoc1,12.232
c1conn1,11.821
c1ncon1,11.003
c1nnco1,11.122
c1nnno1,10.82
c1cnon1,11.319
c1nnon1,10.694
n1nnon1,10.401
CC(=NO)C#C,23.675
CC(=NO)CO,25.106
CCC(=NO)C,26.442
C1CC(=NO)C1,21.872
C1C(=NO)CN1,20.934
C1C(=NO)CO1,19.932
C(F)(F)(F)F,12.639
N=C1NC=CO1,18.338
N=C1OC=CO1,16.38
c1c[nH]c(=O)[nH]1,18.314
c1coc(=O)[nH]1,16.761
c1coc(=O)o1,15.099
Cc1ccc[nH]1,20.832
Cc1ccco1,19.38
Cc1cnco1,18.024
Cc1ncco1,18.156
c1cc([nH]c1)N,20.507
c1cc(oc1)N,19.374
c1c(ocn1)N,18
c1coc(n1)N,17.958
c1cc([nH]c1)O,19.901
c1c([nH]cn1)O,18.316
c1cnc([nH]1)O,18.016
Cc1cc[nH]c1,20.948
Cc1c[nH]cn1,19.536
Cc1ccoc1,19.399
Cc1cocn1,18.123
c1c[nH]cc1N,20.983
c1c(nc[nH]1)N,19.414
c1cocc1N,19.259
c1c(nco1)N,17.986
c1c[nH]cc1O,19.995
c1c(nc[nH]1)O,18.065
c1c(nco1)O,16.639
Cn1cccc1,20.193
Cn1ccnc1,18.783
c1ccccc1,17.214
c1ccncc1,16.093
c1cnccn1,15.146
c1cncnc1,15.138
c1ncncn1,14.209
CC(C)(C)C#C,28.513
CC(C)(C)C#N,26.404
CC(C)(C#N)N,25.93
CC(C)(C#C)O,27.393
CC(C)(C#N)O,25.46
CC(C)(C)C=O,27.295
CC(C)(C=O)O,26.432
CC(C)(C)CO,29.797
CC(C)(CO)O,28.879
CCC(C)(C)C,30.906
CCC(C)(C)O,29.948
CC(C)(C)OC,29.597
CC#CC(=O)C,23.826
CC#CC(=O)N,23.663
CC#CC(C)C,27.581
CC#CC(C)O,26.384
CC(=O)CC#C,23.951
CC(=O)CC#N,21.969
C#CCC(=O)N,23.677
C(C#N)C(=O)N,21.668
CC(=N)NC=O,21.828
CC(=N)OC=O,21.35
CC(=O)CC=O,22.667
CC(=O)NC=N,22.603
CC(=O)NC=O,21.535
CC(=O)OC=N,21.339
C(=O)NC(=N)N,21.711
C(C=O)C(=O)N,22.336
C(=N)NC(=O)N,22.001
C(=O)NC(=O)N,20.96
NC(=O)OC=N,21.164
CC(C)CC#C,27.444
CC(C)CC#N,25.297
CC(O)CC#C,26.225
CC(O)CC#N,24.229
CN(C)CC#N,24.109
CC(C)CC=O,26.267
CC(C)NC=O,25.451
CC(C)OC=O,24.383
CC(O)CC=O,25.112
CN(C)CC=O,25.118
CC(=O)CCO,25.274
CCCC(=O)C,26.57
CCCC(=O)N,26.19
CCNC(=O)C,25.795
CCNC(=O)N,25.169
CCOC(=O)C,24.457
CCOC(=O)N,24.01
C[NH2+]CC([O-])=O,22.427
CC(=O)COC,24.783
COCC(=O)N,24.375
C(CO)C(=O)N,25.021
[NH3+]CCC([O-])=O,23.572
CC(C)CCO,28.734
CC(O)CCO,27.553
CCCC(C)C,29.991
CCCC(C)O,28.823
CCOC(C)C,28.558
CC(C)COC,28.268
COCC(C)O,26.669
CC(=O)C(=O)C,23.569
CC(=O)C(=N)N,23.683
CC(=O)C(=O)N,22.796
NC(=[NH2+])C([O-])=O,20.891
C(=O)(C(=O)N)N,21.839
CC(C)C(=O)C,27.077
CC(C)C(=O)N,26.737
CC([NH3+])C([O-])=O,23.344
CC(O)C(C)=O,25.252
CC(O)C(N)=O,24.979
CC(=O)N(C)C,25.808
CN(C)C(=O)N,25.1
CC(C)C(C)C,30.606
CC(C)C(C)O,29.475
CC(O)C(C)O,28.004
CC1(CCC1)C,26.214
CC1(CCO1)C,24.691
CC1(COC1)C,24.362
CC1(CCC1)O,25.093
CC1(COC1)O,23.305
CC1(C)CC1O,26.639
CC1(O)CC1O,25.546
CC1CC1(C)C,27.904
CC1CC1(C)O,26.806
CC1OC1(C)C,26.504
CC1(CN1C)C,26.999
CC1CC(=N)O1,21.198
CC1CC(=O)C1,22.568
CC1CC(=O)N1,21.755
CC1CC(=O)O1,20.176
CN1CC(=O)C1,21.382
C1C(CC1=O)O,21.395
CC1CC(C)C1,25.93
CC1CC(C)O1,24.277
CC1CC(O)C1,24.723
CN1CC(C1)O,23.314
OC1CC(O)C1,23.5
CC12CC(C1)C2,21.869
CC12CC(C1)O2,21.01
CC12CN(C1)C2,21.04
OC12CC(C1)C2,20.67
OC12CN(C1)C2,19.785
C#CC(=O)C#C,20.497
C#CC(=O)C#N,18.651
C(#N)C(=O)C#N,16.955
C#CC(=O)C=O,19.716
C(=O)C(=O)C#N,18.042
C(=O)C(=O)C=O,18.951
CC(C#C)C#C,24.829
CC(C#C)C#N,22.726
CC(C#N)C#N,20.75
NC(C#C)C#N,22.216
C(#N)C(C#N)N,20.295
C#CC(C#C)O,23.408
OC(C#C)C#N,21.363
C(#N)C(C#N)O,19.442
CC(C=O)C#C,23.743
CC(C=O)C#N,21.73
OC(C=O)C#C,21.821
OC(C=O)C#N,19.861
CC(C=O)C=O,22.644
CN(C=N)C=O,21.581
CN(C=O)C=O,20.743
C(=O)C(C=O)O,20.624
CN=C(C#N)N,22.896
CN=C(C=O)N,23.292
CCC(=O)C#C,23.625
CCC(=O)C#N,21.82
CNC(=N)C#N,22.345
CNC(=O)C#C,22.928
COC(=O)C#C,21.393
COC(=O)C#N,19.572
C#CC(=O)CO,22.333
C(C(=O)C#N)O,20.617
CCC(=O)C=O,22.634
CNC(=N)C=O,22.92
CNC(=O)C=O,21.909
COC(=O)C=O,20.46
C(C(=O)C=O)O,21.411
CCC(=O)CC,26.577
CCC(=O)CO,25.279
CCC(=O)NC,25.744
CCC(=O)OC,24.367
CNC(=O)CO,24.645
CNC(=O)NC,25.314
CNC(=O)OC,23.827
COC(=O)CN,23.834
COC(=O)CO,22.716
C(C(=O)CO)O,24.017
CC(=NC)OC,25.912
CC(CO)C#C,26.225
CC(CO)C#N,24.138
CCC(C)C#C,27.469
CCC(C)C#N,25.346
CCC(N)C#N,24.891
CCC(O)C#C,26.198
CCC(O)C#N,24.136
CNC(C)C#N,24.789
COC(C)C#C,25.831
COC(C)C#N,23.771
NC(CO)C#N,23.603
NCC(N)C#N,24.235
NCC(O)C#N,23.453
OCC(O)C#C,24.263
OCC(O)C#N,22.348
CC(CO)C=O,24.974
CCC(C)C=O,26.342
CCC(O)C=O,24.411
CCN(C)C=O,24.851
COC(C)C=O,24.765
OCC(O)C=O,22.686
CC(CO)CO,27.566
CCC(C)CC,30.015
CCC(C)CO,28.743
CCC(C)OC,28.45
CCC(CC)O,28.828
CCC(O)CO,26.859
COC(C)CO,26.699
C(C(CO)O)O,25.116
CC1(CC1)C#C,24.638
CC1(CC1)C#N,22.416
CC1(CN1)C#C,23.611
