smiles,band_gap
CC1OC(=N)C(C)=C1N,0.2105
C1C2OC3C1OC23,0.3127
CCC1C2C3C1C2C3=O,0.2482
OC(C#C)C1C2CC1C2,0.2932
Cc1cc(c([nH]1)N)C=O,0.1794
CC12NC1(CO)C1CC21,0.3373
O=C1C(C2CC2)C2CN12,0.2305
CCOC(=N)C#CCO,0.2357
CC1(C#C)C2NC1C2=O,0.2482
CC(C)(O)C(C=O)C#C,0.2199
N#CC1CC2CCN2C1,0.2499
CC12OC1C(N)=CC2=O,0.186
CCN1C2COCC12C,0.3053
CC1NC11C2NC1C2=O,0.248
C#CCC12C3C4C3N1C24,0.2649
CC1=CON=C(F)C1=N,0.184
O=COCC(C=O)C#N,0.2239
O=CC1CN2N=NC=C12,0.2088
C#Cc1c(cco1)N,0.1844
CC1COC(=N)C1C=O,0.2255
OCC1NC(=O)CC1O,0.2699
O=C1CNC11CC=CC1,0.2142
N#CC1C2C3C2N2C3C12,0.2762
OCC12CC(C=O)C1N2,0.2135
CC#CC(=O)OC(C)=N,0.2283
O=C1CCCC2OC12,0.2176
CC(CCN1CC1)C#N,0.2815
[NH3+]CC(O)(CO)C([O-])=O,0.2598
CC12C3CCC1(C)OC23,0.3033
N#CCC1C2C3CN2C13,0.2772
COCC1CC2CC2O1,0.3161
COC12CC(C1C)C2C,0.3341
O=C1C2C3C(CN23)C1=O,0.1489
CC(C)CC1CC(C)C1,0.3583
CN1C2C3CN3C2C1=O,0.252
CC#CC#CC#CCO,0.1772
COCC(C)C(C)C=O,0.227
OC12C3C1C1CC2CC31,0.317
c1cc2n(c1)C(=O)OC2,0.213
COC1C2C3OC2C13O,0.303
CCC1(C)CC=CC1,0.2656
COCC(O)C=O,0.2275
CC1(CCC(=O)C1=O)C,0.1417
OC12CC3OC(=O)C1C23,0.2658
CC([NH3+])CC(O)C([O-])=O,0.2747
CCc1cnc(cn1)F,0.206
CC12CCC3C4C3C1C24,0.2842
CCc1coc(n1)CC,0.241
CC(=O)Nc1ccoc1,0.2163
c1cnn(c1C#N)C=O,0.201
CN=C1CC=CC(C)O1,0.2516
CC1OC2C=CC1C2O,0.2465
CCC1(C)N2CC1(O)C2,0.3082
C1COCCC(=O)C=C1,0.2011
CN1CC1C(C)=NO,0.2222
NC1CC(O)COC1=O,0.2472
CC1(CO)CN2CC12,0.2977
COC1C2CNC12C=O,0.1921
CC1OCC1CCC=O,0.2243
CC1(COC1)O,0.3076
CC1CN(C1)CC#N,0.2596
c1c2n(cn1)CCO2,0.236
CCCC12CC(O)C1O2,0.3262
CCC(C)(C=O)C#N,0.2299
O=CC1C2CCCC12,0.2229
C1OC11C2C3OC1C23,0.3015
NC(=N)C(=O)C(O)C#C,0.1871
CCC(=O)C#CCO,0.2102
CC1(CC(=O)C=C1)C=O,0.1936
C#CC1OC2COC1C2,0.2784
c1nc-2nconc2n1,0.1682
CC1(O)C2OC(=O)C12,0.2688
CC1(O)CC1CO,0.3217
C1C2CCCC22COC12,0.3002
N=C1N=NON=N1,0.1641
COCc1c(nc[nH]1)O,0.224
CC(O)C12CC(O)C1N2,0.3121
OCC1CC2OC2CO1,0.3388
OC12CC=CC1CC=C2,0.2564
Cc1ncc(c(n1)F)N,0.1953
CCc1c(n[nH]n1)C#N,0.2336
CCC1CC(=O)NC=C1,0.2131
CC12C3CC1C3C2C=O,0.2181
CC12CC1C1(C)OC21C,0.2931
CC12CC3CC1C3CO2,0.3249
CC1OC1(C=O)C1CN1,0.2071
OC1CC1(CC#N)C#C,0.2846
CCc1c(c[nH]n1)NC,0.2209
C1C2CC3C4COC13C24,0.308
N#CCC1COC=N1,0.2709
CC12CC1(C#C)C(=O)C2,0.2278
CCCC(=O)N(C)C=O,0.227
C1CC1C#CCCC#N,0.271
CCC1C(C#C)N1C,0.2564
OC(C#C)C12CN1CC2,0.2772
CC(O)C1OC(=O)C1N,0.2547
COC1C2C3C2N(C)C13,0.2777
CC12CC1CC(CO)C2,0.3305
CC12CC3OC3CC1O2,0.3302
CC1(CO1)C(O)C1CC1,0.3421
N#CC1OC1C#N,0.2853
C#CCCCC#CC=O,0.205
OC12CC1NC2CC#N,0.2656
OC1CC1(C#N)C1CC1,0.2801
CNC1(COC1=O)C#C,0.2395
C1CC1(CCCO)O,0.3275
N=C1OC2CCC=CC12,0.2587
N#CC1=CC2OC2C1,0.2081
CC1COCC1(C)O,0.308
ON=C1CN2CC1(O)C2,0.2426
CC1CC(C)N1C(N)=O,0.2805
CC(=O)C12CC1(C)OC2,0.221
COC1CC1C(N)=O,0.2662
CC1(COC1)CCOC,0.3146
C#Cc1cnoc1CO,0.2161
CC1C2NC(=O)OC12C,0.2969
COC(=O)C(C)C=O,0.2199
C1C2C3C4CC(C1O4)N23,0.3219
CNc1cn[nH]c(=O)n1,0.1893
CC1(C)C(=N)OC11CC1,0.2804
O=CC1(OCC=C1)C#N,0.207
CC(C)C(=O)CC(=O)C,0.2106
OCC1CC2(O)COC12,0.3029
C1OC1C#CC1COC1,0.2675
OC1C2CCOCC12O,0.2889
CCC1(CC#C)CN1C,0.2798
C1COC(=O)C=C1CO,0.218
CC(C)C(C)(O)CC=O,0.2215
CCOCC(CC)C#C,0.3073
CNC1CN=C(N)C1=O,0.1679
CCC1(CCC1)C1CO1,0.341
CC12CC3CC(O1)C3O2,0.3362
CC1OC(C)(C)CC1O,0.3128
C1C=CCOC(=O)CO1,0.2174
Cc1c(noc1C=O)C,0.191
N=COCCC#CC#N,0.2319
C1C2OC34CN(C3)C4C12,0.2968
CCC1CC(CC#C)O1,0.295
O=CC1C2C3CN1CC23,0.2209
Cc1c([nH]cnc1=O)O,0.2084
[O-]C(=O)C(=O)CNC=[NH2+],0.0901
OC12C3CCC(C13)C2=O,0.2415
CC(=O)CCC1(CC1)O,0.2327
OC1C(=O)C2C3CC12O3,0.1738
C1CC1(CCC=O)O,0.2282
O=CC1C2C3CN1C23,0.2055
CC1N2C(C#N)C2C1=O,0.2129
CC(C)CCOC(=O)C,0.2847
NC(=O)C1C(O)C2CN12,0.2421
CCC1OC2C(O)C12,0.2995
COC1C(C)C1(C)C,0.3152
CCc1nc(no1)C#C,0.2235
CC12CC3OC(CC13)C2,0.3241
CC1C(=O)C2OC12C,0.2119
CC1=CC(C)(C)C2OC12,0.2444
CC(O)C(=O)CC#N,0.2279
CC12CC(N1)(C#C)C2=O,0.2372
COC1C(=O)COC1=O,0.1991
CC1C2COC2C11CN1,0.2978
c1coc(n1)CC=O,0.2106
C1CC1C1OC2CC2O1,0.3351
CC1CC11CCC11CO1,0.3201
O=CC1NC(=O)CC=C1,0.202
OC1C2CC2C2OCC12,0.2995
CC1CC2(C)CC2CO1,0.3262
CC1(CC1)C(N)C#N,0.2957
OC1COC11COC1,0.3006
CC1(C)C(O)C1(O)C#C,0.2505
C#CC#CCCC=O,0.2118
CCC12CC3CC1N2C3,0.3198
N=C1CC2C3NC2C3O1,0.271
c1c(nco1)COC=O,0.2488
Cc1c(nc([nH]1)CO)N,0.2121
CC1(CCO1)C(O)CO,0.3153
CC12NC1C1(C)NC21C,0.2643
CC1C(C)C1(C=O)C#N,0.2235
CC12C3CCN1C(=O)C23,0.2429
C#CC1NC1CC1CC1,0.28
CC12CC3(C)CN1C23,0.3134
C1C2COC3CCC3N12,0.2914
COc1ccc(o1)C#C,0.1845
CC1=NC(CCO1)C#N,0.2686
CC12C3OC1CC=CC23,0.2374
CCOC(C)CC=O,0.2232
O=C1CN2CC12C1CC1,0.2197
c1c[nH]c(nc1=O)O,0.2099
CC1CCC2CC2C1=O,0.2187
CC(=O)C1CN1CC=O,0.2066
NC(=O)C1=CC2OC2C1,0.2074
OCC1NC(=O)C2CC12,0.2671
CNC1(C)CC1(O)C#N,0.2403
CC1C=CC(=O)N1C=O,0.1922
OC1CC(O)C2CC12,0.3187
OC1C=C2C3C4C3C2C14,0.1631
C1CC12CC(=O)CC2=O,0.1979
CC(C)C(C=O)C(C)O,0.221
Cn1c(=O)c(ncn1)F,0.1782
CCN=COCCOC,0.2759
CC12CCC3C4C1N4C23,0.311
COC1C2CC1C(=N)O2,0.2761
CC1=NCCOCCO1,0.2582
OC1(C2CC1[NH2+]2)C([O-])=O,0.2737
C(#N)c1c(oc(=O)o1)N,0.2036
OCC(=O)C(O)C1CN1,0.2075
COC(=O)C1CC(O)C1,0.2447
c1c(nc[nH]1)N(=O)=O,0.1961
CCC1CC1(C)C#N,0.3159
N=COC(=O)CC1CO1,0.2499
OCC1N=CNC1C#N,0.241
O=C1C(NC11CC1)C#N,0.2067
CC1C2NC2C2OC12,0.3076
CC12CC3C1C3(O)C=C2,0.2377
CC(O)C1=COC=C1N,0.2285
C1OC1C1CC2OC12,0.3342
OC1CC11CCCOC1,0.3199
N=C1CC2OC2CO1,0.2826
C1CC2(C1)CO2,0.3343
CC(C=O)C1CC(=O)N1,0.2175
CC1(C)OC(=N)C1(C)O,0.2863
N=C1OCOCC2CN12,0.2505
CCC12CC(O)CC1N2,0.2955
CC1(O)CCC=CC1=O,0.1897
CCN1CC11CC2OC12,0.3136
CNC(=O)CN1CC1,0.2768
CC1CCC2(C)OC2C1,0.3373
O=CNCC1COC1=O,0.2534
CC(=NO)C(O)C1CO1,0.2547
COC12C3C1C1(C)C2N31,0.2774
OC1C2CC3(CC3)OC12,0.304
Cc1ccnc(n1)CO,0.2062
CCCC1C2CC(C)C12,0.3318
C#CC12OCC3C1CC23,0.2733
N#CC#CC1COC=N1,0.2292
CC1(CC1O)N1CC1,0.2952
CCCc1c[nH]nc1,0.2583
CC1N2C(C)CC12C#C,0.2475
COC1CC2CC1C2=O,0.2319
C#CC12OC1C1CC2C1,0.2649
CC12CC(CC1O2)=NO,0.253
CC1(C)CC2OCC12C,0.3056
CC1(CO)OC1CC=O,0.2245
CCCC1CC(=O)CO1,0.2194
c1c(c2c([nH]1)OCO2)O,0.2181
N#CC(C1CC1)C1CN1,0.2861
O=CC1(C#C)C2COC12,0.2066
CC1C[NH2+]C1CC([O-])=O,0.275
COC1=NC(C)CN1C,0.2654
CC1(CC1)CC2CCC2,0.3412
Cc1cn2c(n1)[nH]cn2,0.2125
N=C1OC(C#N)C11CC1,0.2682
c1c[nH]c(c1CC#N)O,0.2172
CC1(CO)NCC1=NO,0.2293
N#CC12CC1N1CC2C1,0.2692
CC1=CCCC1C#C,0.2596
CC#CCCNCC#N,0.2695
CC1CC(=O)C1,0.2231
CN(C)c1cnc([nH]1)O,0.2364
CCC1CC1C1COC1,0.3242
OC(CC1COC1)C#N,0.2578
N#CC1C2C3COC1C23,0.2815
Cc1cc(co1)C=O,0.187
CC1CCC1C#C,0.3024
CC12COC1C(O2)C=O,0.2092
C1C=C(NC(=O)N1)CO,0.22
CC1(C=O)N2CC1(O)C2,0.2149
C(=O)Nc1c(onn1)N,0.1919
CC1N2CC3OC3C12C,0.2857
OC1CNCC1(O)C#N,0.2417
CC1(CNC(=O)NC1)C,0.2888
COC1CCC(=C1)C#N,0.2186
CCC(C(C)C)C1CO1,0.3384
CCN1C2CC2CC1=O,0.2578
CC(O)C12C3C4C(C13)N24,0.2782
N=C1OCOC(=N)C=C1,0.1872
C(CO)C(=O)CO,0.2355
CC1(O)C=CCC1CO,0.2603
CC12CC1(C)C(CO)C2,0.3128
CC1CC1(CO)CC=O,0.2239
CC(CO)COC(C)=O,0.285
CCC(C)N=COC=O,0.2358
CNC(=O)C1CC2CN12,0.2641
CC1OCC2CC12C#C,0.2879
N#CC12CCC(CO1)C2,0.2838
COCC1(CO1)C(C)O,0.3092
CC1CC2C3C2C2C3N12,0.2823
CC1N2CC1(C)C2CO,0.304
CC(O)C1(C)OCCO1,0.3222
Cc1nccc(n1)C#N,0.1879
CCC1CCC=C1CO,0.2594
COC12CC(O)(C1)C=C2,0.239
CC12CC1CC=CC2=O,0.1917
OC1COC(CC=O)C1,0.2246
CC12CC(O1)C(=C2)C#N,0.1974
CC1OCC2(C)OC12C,0.329
O=CC1CCCOCC1,0.2246
N#CC1OCC11CN1,0.2607
OC12CC(C1C#C)C2=O,0.2365
CC1C2C3OC1(C#C)C23,0.2526
CC12C=CC3(O)C1OC23,0.218
CC1C(CN1C)C#N,0.2594
O=COC1OCCC=C1,0.2621
CC1CC(N)C(N1)C#N,0.2737
CC(C)C(C)C(C)(C)O,0.3221
CC1OC(=N)C11COC1,0.2706
OC1CC2C(O)C(O)C12,0.2928
CCCC#CC1CC1C,0.2787
Cc1cn2c(n1)CC2,0.2536
CC#CCc1ccn[nH]1,0.2607
CC1CCC(=N)O1,0.2856
CC(C)CN1CC1C#C,0.2629
CC(=O)c1cn[nH]n1,0.2037
OCC1(CO1)C1(O)CC1,0.3211
CCC1C2C3CC3N12,0.2783
C#CC1(COC1)C2CC2,0.291
CC1(O)COCC11CC1,0.3067
CC#Cc1cnc(o1)O,0.1958
O=C1C2NCC3OC2C13,0.1972
CC12CCC(C)(O)C1O2,0.3207
CC1CC1C(O)CC#N,0.3102
CC1N2CC11OCCC21,0.2967
O=C1OC2OC1C1CC21,0.266
CC12CC1C1COCC21,0.3123
N#CC12CC=CCC1O2,0.2631
C(C1CN1)C1=NON=N1,0.1849
CC1CC(=NO)C1C,0.2495
O=CN1CC2C(C#C)C12,0.2543
O=CC1OC=NCC=C1,0.2128
CC1C2C3C2C2C3C12O,0.2846
Cc1c(cc(o1)N)NC,0.2104
N#CC12C3CC1COC23,0.2664
OC(C#N)C1CC(=O)N1,0.2599
CC(C)(O)C1CC2CN12,0.2863
OC1C2CC1C(=O)OC2,0.2735
CC(C)C1CC(C)C1,0.3636
CC1=C(C)C2CC(C1)O2,0.2379
OCC1(O)C2C3CC3C12,0.2811
N#CC12CC3CC1CC23,0.3063
c1(c(oc(=O)[nH]1)O)N,0.2423
CC1CC(C)(C#N)C1O,0.295
OCCC(C=O)C1CN1,0.2082
NC12CC=CC1OC2=O,0.2418
CC1C2CC(C=O)C1O2,0.2195
N=COC1CC2CC2C1,0.2798
CC12CC3C1C=CC3O2,0.2445
CC1(C)C(O)C1(N)C#N,0.269
CC1CC2OC2C2NC12,0.3097
C#CCc1[nH]c(cn1)O,0.2353
OCC1CC2(CO2)C1=O,0.2033
O=CC1CC2OC(=O)C12,0.2268
CCC(CCO)C(C)C,0.3368
CC1(C)C2CC11CCC21,0.3095
C1CC2=CCCCC12,0.2557
O=CC12CC3C1N3CC2,0.2198
c1c(c(n[nH]1)N(=O)=O)N,0.1512
c1cn(cc1N)C2CC2,0.2206
CC(O)C(O)C(O)C=O,0.2392
c1c(n(nn1)C(=O)N)N,0.194
CC#CC(=O)CCO,0.2092
CC1(CO)CC(O)C1O,0.3018
OC1C2CN2C11CCC1,0.2995
CCOC=NCC=O,0.2204
OC1CCC1NCC#N,0.2617
C1C2COCC=CC12,0.248
OC1=COC(=N)C(=N)N1,0.169
OC1CC2(CCC12)C#N,0.2944
CCC(O)C1(CO)CC1,0.3227
OC1CC1COCC#N,0.2809
CCC1(C)OC2COC12,0.3093
CN1CC11COC(=N)C1,0.2693
CC#CC1(CO)NC1C,0.2803
CC1=CC2CC1COC2,0.2477
CC(O)C1=C(N)C=CN1,0.2179
CN(C=O)C1CCOC1,0.2618
C1C2CC3=CN=CN3C12,0.2471
CC1(O)CC2(CO)NC12,0.2781
NC(C#N)C1=CNC=C1,0.247
CC12CC(O)C1C=CC2,0.2508
C1CC1c2n[nH]nn2,0.2397
C1CC11C2CC1C=CC2,0.2514
CC1(OCCO1)CC=O,0.2253
COC1C2CC1(C)C=C2,0.2408
CN=c1cc([nH]nc1)O,0.1638
C1N2C3CC4COC13C24,0.3119
CC12OCOC11CC2C1,0.3238
CC12CCCC(=O)C1N2,0.2209
FC(F)(F)C12CCC1O2,0.3377
O=C1NCC1CC#N,0.2793
CC(CC=O)(CO)CO,0.2087
c1c[nH]c(=O)nc1C=O,0.1515
CC1NC11C2C3CN2C13,0.3042
O=C1C2OCC2C11CC1,0.1976
C1NC11CN2C=CN=C12,0.2453
C(C(=O)N)O,0.2733
CC1(CC1)C(=O)C#N,0.2064
CN1C(=N)C=NC=C1F,0.1589
CC1=CC2COC2(C)C1,0.2571
O=C1CC2NC2C2OC12,0.2153
NC(=[NH2+])O[C-](C#N)C#N,0.166
CCN1C2CC(O)CC12,0.2843
c1cc([nH]c1)NC=O,0.1972
CC1(CCC1)CC#N,0.3349
COC1CC1(O)C#C,0.2592
CNC(=N)c1cnno1,0.173
O=CCCC12CN1CC2,0.2144
CC1CC(=O)C1(C)C#N,0.2176
CC(C)C1(COC1)CO,0.3025
CC12NC1CC2NC=O,0.2706
CC12C3OC4C1C4(O)C23,0.2952
CC(C)(C)C(C)(O)C#N,0.3117
COCC1NC1CO,0.3232
CC1(CC(=O)CO1)C#C,0.2192
C1CC(C1)CCNC=O,0.2835
CC12CN1C(C#C)C2O,0.262
OC1CN2CC2C1C#C,0.2675
CCc1cc(oc1C)C,0.2267
OCC1C2C1C1OCC21,0.3093
OC1C(O)C(C#N)C1O,0.2777
OC1CC(O)C2(CO2)C1,0.3133
O=CC1OCC2OC12,0.2214
CC1CC2OC2C2CC12,0.3301
CC1CC2CCC1(C)O2,0.3219
c1c(cn[nH]1)C(F)(F)F,0.2702
CC1=NON=NC1=N,0.176
CCN(C)CC(=O)C=O,0.1349
CC1(CC1)NC(=O)N,0.293
C1C2CC(C12)C1COC1,0.3222
C#CCN1CC(C1)C#C,0.2639
c1cnn2c1CC=CC2,0.2414
CC1CC(=O)CC1CO,0.2222
COC(C)C(C)(C)CO,0.3206
CCC1CC2CC12C=O,0.2198
CCC(=O)CC(=O)C#C,0.1787
Cc1nc(cc(n1)F)N,0.2259
COc1cncc(=O)o1,0.1593
Cc1[nH]cc(n1)C(=O)C,0.2049
Cc1cn(cc1CO)C,0.2455
CC1C(CC1=O)C(C)=O,0.2196
CC1(C=C(CO1)C=O)C,0.1826
CC1NC1C1NC1(C)C,0.3073
CCNC1(COC1)C=O,0.1962
CC1COCC(C)C1,0.3255
CCC12CC1C(=O)CO2,0.2157
CCOC(=N)C1CCO1,0.2866
O=CNC(CC#C)C#N,0.2728
CCC1CC1(O)CC=O,0.2187
CN1CC1C1CCC1,0.3018
CC12CC1OCC21CN1,0.2973
Cc1c(cco1)NC,0.207
COCC1COC1=N,0.2742
O=CC1CCC2(CC2)C1,0.2287
CC(C)Cc1cn[nH]n1,0.2547
CC(CO)C12CC1CC2,0.3244
OCC12OC1C=CC2=O,0.1676
c1coc2c1COCC2,0.2335
OC1C2CC3C2C3C1=O,0.2226
COC1CC2CC1(O)C2,0.3327
OC1C=CC=CC2NC12,0.1847
CC([NH3+])C1(CN1)C([O-])=O,0.2519
N=C1CC(CCO1)C#N,0.2719
CC(C)(C)[NH2+]CC([O-])=O,0.2657
OCC1CC(C1)C1CO1,0.3375
CC1(O)CC11CCC1O,0.3145
CC1CC(O)C=CC1C,0.258
N=COC1=COC=N1,0.2233
NC1=[NH+]C(=N)N=C[N-]1,0.1909
CN=COCC1CCC1,0.2727
CCOCC1C(O)C1O,0.2845
CC1CC1(O)C(N)=O,0.2677
CCC1C(=O)CC1(C)O,0.2182
O=C1C2NC1(C=C2)C#C,0.2342
C1COC(=O)C(=O)C1=O,0.1335
Cc1c(c(no1)NC)N,0.2323
CC1CC2OC2C(C)O1,0.3351
OC12CC(C1)OC21CC1,0.2898
c1nc(c(o1)C2CC2)O,0.206
CC12CC(C)(O1)C2(C)C,0.3077
CC12OC3COC1C23,0.2941
CC12CCC1(N2)C=O,0.2183
Cn1c(cc(=O)nn1)F,0.1741
C#CCc1c(cn[nH]1)O,0.2246
OC1C2CC3=CCC1C23,0.2143
CNC(C#N)C1NC1C,0.2758
N=C1ON=CC(=C1)C#N,0.1509
COc1cn[nH]n1,0.2343
COC1(C)C=CNC1=O,0.2075
c1cnc(cc1CO)F,0.2259
C#CC(=O)NCCCO,0.2333
C1C2CC3COC2C1C3,0.3076
OC1C2NC2C=C1C#N,0.2034
CC1=C(CC2CN12)C=O,0.1835
CCC(C)OCC(C)C,0.3317
c1c[nH]c(c1C2CC2)O,0.233
O=C1NC2C(CC12)C#N,0.2724
OCC1COC(CO)O1,0.3226
OCCC1OC1C1CN1,0.3225
CC(=O)c1ccc[nH]1,0.1876
CC(O)CC1C(C)C1O,0.3122
N=C1N=NNC=C1C#C,0.1518
NC1=[NH+]C(CN1)C([O-])=O,0.2509
c1coc(n1)NC=O,0.2117
CC1OC2C3CCC1C23,0.3091
CC(=O)NCC#CC#C,0.2201
OC1CC2OC(=N)CC12,0.2802
CC1(C)OC2C3NC3C12,0.2957
CCC12OC1CC21CO1,0.3251
CC(C)C1(C)CC(C)O1,0.3184
COC1CCC1N1CC1,0.2996
CC1C2NC3C2OC13,0.297
CC#CC1COCC1C,0.296
CC12CC(C1)CC2CO,0.3405
O=C1C2C3CN4C3C1C24,0.2269
Cc1c([nH]nn1)OC,0.2372
CCC1C(O)CC1C#C,0.3031
OCC1C(CO)C1C=O,0.2222
CC1=CC2CCC2C1,0.2571
CC1C=C(C)CC2OC12,0.261
COC12CC1(C)NC2=N,0.2494
CC1CC2CC(O)C2O1,0.2983
C1CC1CN2CCC2=O,0.2774
CCC1(O)COC2CC12,0.2907
c1c2c(on1)COCC2,0.2375
OC1CC11N2CC2C1=O,0.2141
C1C2(CO1)C3(O2)COC3,0.3076
c1c(c2c(o1)CCO2)N,0.2145
O=CC1C2OC1C=C2,0.1984
C#CC#CCOC=O,0.2218
NC1CN=COC1C#N,0.2452
CC1C2COC2C1C=O,0.2261
OC12C3NC1C1(CN1)C23,0.29
CC(=O)CC1(C)CC1O,0.2234
CC1(C)NC1CC#N,0.2963
COc1cnc(nn1)F,0.1704
O=CC1=CC(NC1)C#N,0.1727
CC1OC2C=CCC2=C1,0.2467
CCCc1cc([nH]n1)O,0.258
