smiles,isotropic_polarizability
C,13.21
N,9.46
O,6.31
C#C,16.28
C#N,12.99
C=O,14.18
CC,23.95
CO,16.97
CC#C,28.78
CC#N,24.45
CC=O,25.11
C(=O)N,21.57
CCC,34.75
CCO,27.87
COC,28.13
C1CC1,30.82
C1CO1,24.04
CC(=O)C,35.53
CC(=O)N,31.83
C(=O)(N)N,28.07
CC(C)C,45.46
CC(C)O,38.58
C#CC#C,38.52
C#CC#N,32.66
C(#N)C#N,27.7
C#CC=O,31.14
C(=O)C#N,26.25
C(=O)C=O,26.12
CC#CC,42.32
CCC#C,40.09
CCC#N,35.38
C(C#N)N,31.81
C#CCO,33.1
C(C#N)O,28.56
CCC=O,35.83
CNC=O,32.78
COC=O,29.47
C(C=O)O,28.53
CCCC,45.71
CCCO,38.61
CCOC,39.34
C(CO)O,31.42
CC1CC1,41.96
CC1CO1,35.01
CN1CC1,39.02
C1CC1O,34.64
C1CCC1,41.83
C1COC1,34.56
CC(=NO)C,45.37
c1cc[nH]c1,43.14
c1cnc[nH]1,39.13
c1ccoc1,39.2
c1cocn1,35.17
CC(C)(C)C,56.01
CC(C)(C)O,49.04
CC(=O)C#C,42.02
CC(=O)C#N,37.08
C(#N)C(=N)N,38.31
C#CC(=O)N,38.29
CC(=O)C=O,36.51
C(=O)C(=N)N,38.09
C(=O)C(=O)N,33.39
CC(C)C#C,51.2
CC(C)C#N,46.23
CC(N)C#N,42.87
CC(O)C#C,44.03
CC(O)C#N,39.28
CC(C)C=O,46.58
CC(O)C=O,39.16
CN(C)C=O,44.42
CC(=O)CO,39.33
CCC(=O)C,46.19
CCC(=O)N,42.54
CC(=O)NC,43.61
CNC(=O)N,39.51
COC(C)=N,43.57
CC(=O)OC,39.33
COC(=O)N,35.5
C(C(=O)N)O,35.87
[NH3+]CC([O-])=O,35.19
CC(C)CO,49.26
CC(O)CO,42.01
CCC(C)C,56.26
CCC(C)O,49.45
CC(C)OC,49.8
CC1(CC1)C,52.92
CC1(CO1)C,45.7
CC1(CC1)O,45.85
N=C1CCO1,40.19
C1CC(=O)C1,42.77
C1CNC1=O,39.73
C1COC1=O,35.4
C1C(=O)CN1,39.34
C1C(=O)CO1,35.94
CC1CCC1,52.94
CC1CCO1,45.72
CC1COC1,45.45
C1CC(C1)O,45.55
C1C(CO1)O,38.58
CC1CC1C,52.92
CC1CC1O,45.84
CC1CN1C,49.79
CC1OC1C,46.02
OC1CC1O,38.43
C1C2CC1C2,49.82
C1C2CC1O2,42.39
C#CCC#C,45.22
C#CCC#N,40.56
C(C#N)C#N,36.12
C#CCC=O,41.41
C(C=O)C#N,36.79
C(=N)NC=O,38.8
N=COC=O,35.69
C(=O)NC=O,34.31
CC#CC#C,54.54
CC#CC#N,47.82
CC#CC=O,45.67
CC#CCO,46.92
CCC#CC,53.93
CN=COC,46.78
CCCC#C,51.47
CCCC#N,46.62
CNCC#N,43.52
COCC#C,45.04
COCC#N,40.22
C#CCCO,44.05
