smiles,internal_energy_298K
C,-40.476062
N,-56.523026
O,-76.401867
C#C,-77.305527
C#N,-93.40937
C=O,-114.480746
CC,-79.760666
CO,-115.675816
CC#C,-116.60555
CC#N,-132.714563
CC=O,-153.783728
C(=O)N,-169.856903
CCC,-119.047927
CCO,-154.968412
COC,-154.956045
C1CC1,-117.821426
C1CO1,-153.73941
CC(=O)C,-193.082969
CC(=O)N,-209.15402
C(=O)(N)N,-225.217075
CC(C)C,-158.336603
CC(C)O,-194.261748
C#CC#C,-153.455442
C#CC#N,-169.553764
C(#N)C#N,-185.644825
C#CC=O,-190.620363
C(=O)C#N,-206.717875
C(=O)C=O,-227.79457
CC#CC,-155.90318
CCC#C,-155.892291
CCC#N,-172.001467
C(C#N)N,-188.037478
C#CCO,-191.806025
C(C#N)O,-207.912215
CCC=O,-193.070116
CNC=O,-209.139976
COC=O,-229.009003
C(C=O)O,-228.987769
CCCC,-158.33517
CCCO,-194.255495
CCOC,-194.248585
C(CO)O,-230.177723
CC1CC1,-157.11209
CC1CO1,-193.035186
CN1CC1,-173.143343
C1CC1O,-193.030356
C1CCC1,-157.111322
C1COC1,-193.029968
CC(=NO)C,-248.368823
c1cc[nH]c1,-210.097816
c1cnc[nH]1,-226.157088
c1ccoc1,-229.965414
c1cocn1,-246.025614
CC(C)(C)C,-197.625241
CC(C)(C)O,-233.553779
CC(=O)C#C,-229.921622
CC(=O)C#N,-246.022024
C(#N)C(=N)N,-242.190591
C#CC(=O)N,-245.992256
CC(=O)C=O,-267.097658
C(=O)C(=N)N,-263.273589
C(=O)C(=O)N,-283.163262
CC(C)C#C,-195.180446
CC(C)C#N,-211.289821
CC(N)C#N,-227.332253
CC(O)C#C,-231.102292
CC(O)C#N,-247.209162
CC(C)C=O,-232.358577
CC(O)C=O,-268.281505
CN(C)C=O,-248.424309
CC(=O)CO,-268.295084
CCC(=O)C,-232.371073
CCC(=O)N,-248.441988
CC(=O)NC,-248.436899
CNC(=O)N,-264.498452
COC(C)=N,-248.410358
